vote_account,name,marinade_activated_stake_sol_epoch_0,marinade_activated_stake_sol_epoch_1,marinade_activated_stake_sol_epoch_2,marinade_activated_stake_sol_epoch_3,marinade_activated_stake_sol_epoch_4,marinade_activated_stake_sol_epoch_5,marinade_activated_stake_sol_epoch_6,marinade_activated_stake_sol_epoch_7,marinade_activated_stake_sol_epoch_8,marinade_activated_stake_sol_epoch_9,bid_pmpe_epoch_0,bid_pmpe_epoch_1,bid_pmpe_epoch_2,bid_pmpe_epoch_3,bid_pmpe_epoch_4,bid_pmpe_epoch_5,bid_pmpe_epoch_6,bid_pmpe_epoch_7,bid_pmpe_epoch_8,bid_pmpe_epoch_9,bond_balance_sol_epoch_0,bond_balance_sol_epoch_1,bond_balance_sol_epoch_2,bond_balance_sol_epoch_3,bond_balance_sol_epoch_4,bond_balance_sol_epoch_5,bond_balance_sol_epoch_6,bond_balance_sol_epoch_7,bond_balance_sol_epoch_8,bond_balance_sol_epoch_9,stake_priority_epoch_0,stake_priority_epoch_1,stake_priority_epoch_2,stake_priority_epoch_3,stake_priority_epoch_4,stake_priority_epoch_5,stake_priority_epoch_6,stake_priority_epoch_7,stake_priority_epoch_8,stake_priority_epoch_9,unstake_priority_epoch_0,unstake_priority_epoch_1,unstake_priority_epoch_2,unstake_priority_epoch_3,unstake_priority_epoch_4,unstake_priority_epoch_5,unstake_priority_epoch_6,unstake_priority_epoch_7,unstake_priority_epoch_8,unstake_priority_epoch_9
6bb3VS1Mx1UBEiyFbrdh4QeB4FRVCBwreL3C9mWvKWiH,Servetheworld AS,114453.619833853,114408.514944116,114369.76241317,114368.875841035,114331.359460652,114300.079424449,114259.130748882,114538.517982878,114751.386564689,114751.386564689,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.0105,0.0105,0.0105,100.161005394,100.236094935,100.312744985,100.389364011,100.46412679,100.538126315,101.694685902,102.848019719,104.00931742,105.166043958,241,241,240,237,240,242,239,207,214,218,64,78,72,69,86,81,84,50,73,74
Azc2uttGtHsRLorfQzd7tsMNtfaEg7LyvVEMVtckPCNN,Glide Student Residential Limited,117275.280920331,117251.137192933,117204.913961308,117168.969847244,117264.690189909,117160.500533154,51709.449154013,24373.497130311,24325.198508295,24325.198508295,0.0008,0.0008,0.0008,0.0008,0.002,0.002,0.2,0.2,0.002,0.002,177.181516135,177.196001134,177.215282393,177.372793939,177.534029217,184.925017133,187.650078163,84.07000358,34.103693665,34.235768872,254,254,253,250,245,246,104,102,244,247,76,90,85,84,89,83,517,534,115,112
5iZ5PQPy5Z9XDnkfoWPi6nvUgtxWnRFwZ36WaftPuaVM,Vorboss Limited,132814.263502016,132761.921711819,132709.59676963,132659.420698675,132607.249946147,132554.94995809,132502.775245315,132450.570256637,132210.298052983,132210.298052983,0.0005,0.0005,0.0005,0.0005,0.001,0.001,0.001,0.001,0.001,0.001,172.751771561,172.740921736,172.73338927,172.788784376,172.847935615,172.906038756,172.965931804,173.019563612,173.07963962,173.137418451,256,257,254,251,252,252,247,244,251,254,77,91,86,85,95,89,89,93,120,117
21wUViiyG1g47VZ39ZZsSkFX9nu6bkyfy6jryHGD2TUB,I d.net B.v,108405.295395238,63758.975992614,63735.894384966,63716.865490915,63694.122866739,63708.965659992,63951.441089277,63977.603476154,38574.343872492,38574.343872492,0.0003,0.251499999,0.0009,0.0009,0.005,0.005,0.009,0.009,0.012,0.515,230.989038433,230.947530341,230.872282262,231.091153021,231.310688209,231.785377007,194.278579127,194.956497197,200.898135309,179.234515527,258,79,252,249,231,233,220,218,215,37,80,522,84,83,73,67,62,66,74,525
8vyuJTHSDkx7k1zymea4TMsgvixf3rCYBXHPDQajePkE,UK Dedicated Servers Limited,102481.629723397,102441.241379279,102400.881568434,102441.592191009,102401.30483899,102297.410612117,27500.172594964,27489.337715409,27434.863856021,27434.863856021,0.0003,0.0003,0.0003,0.0003,0.0015,0.0015,0.17,0.0015,0.0015,0.0015,148.324080391,148.285875351,148.249893572,148.341032174,148.431867135,152.33715408,152.313403634,49.575867866,49.597340254,49.61725395,258,259,258,254,247,248,114,240,246,249,81,93,88,86,92,86,526,90,117,114
2Gife8andd4BkEbT5CncpriPxmQYqbspDh8cXkN6RUSH,Velia.net Internetdienste GmbH,102885.890544018,102268.162107626,101936.150206969,102116.242124318,102392.465356658,100114.350697221,89284.17297904,87296.673520086,87154.573028831,87154.573028831,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.37,0.37,180.533313555,180.059637574,179.603531588,179.313006873,178.910621363,178.575456662,177.947328665,177.57460554,137.470486597,137.266330547,56,50,52,52,53,49,45,43,55,63,163,165,161,160,172,173,178,181,195,188
DUCKsGEPEdNv9QeskPNwoJdWgAXjxUFrkNDEKjAnLWyY,Velia.net Internetdienste GmbH,102282.670648105,101847.677377246,101590.764919596,101768.485735745,102091.764540329,100432.152004655,100816.547461679,101190.388035956,101068.226870757,101068.226870757,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.33,0.33,118.022856888,117.527115106,117.043442996,131.731082977,123.573497603,123.40879423,121.889807731,121.533674565,121.562215169,121.472728266,72,66,69,67,69,66,62,59,68,77,144,152,146,148,155,152,149,154,174,174
HAK7iPgQTFwqEzPfVrRDbG5epFdk1dsA9qQexytsDoes,DCS LLC,105917.694249406,105969.264310604,105531.46722223,105671.557732126,105921.37106764,102923.921584062,103053.058482427,103241.399339223,102742.890195848,102742.890195848,0.1611,0.1611,0.17,0.23,0.23,0.23,0.23,0.23,0.15,0.2315,102.368240908,117.075788722,131.797331108,126.663278825,139.290058194,153.61770705,104.994509905,114.84357018,78.78533975,94.686110207,117,114,110,84,87,86,83,80,125,92,155,167,172,155,173,176,155,163,169,166
BT8LZUvQVwFHRGw2Dwv7UeqDUq7btfjegLpuz5bwgziD,Serverside.com,368432.995821549,367051.830261719,366263.429052783,367058.202987595,368347.8774186,363206.12214678,364304.892683221,366163.86385796,363811.839042664,363811.839042664,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,842.80749759,893.522575349,944.490288114,546.114934551,590.540535116,640.949627456,681.127138921,715.91535716,772.377758138,828.747450073,95,90,92,93,96,95,93,91,92,102,141,151,144,139,153,148,147,149,170,169
9fgw3MScN9xDUTLZJaiqTBF9BmoASJGWmJCdUKSjzsXs,Latitude.sh,182744.117247007,180202.590809241,179200.066641928,179147.513078084,178217.513499546,0.0,0.0,0.0,0.0,0.0,1.8,1.8,1.25,1.25,1.25,1.1,0.0,0.0,0.0,0.0,1650.416397064,1674.743543721,1042.815580768,1075.845718291,1075.423601412,1075.000000002,,,,,5,4,10,7,6,4,300,295,303,307,184,498,192,500,500,197,0,0,0,0
