voteAccount,stakePriority,totalActivatedStakeSol,bondBalanceSol,bidCpmpe,marinadeStake_710,marinadeStake_711,stakeChange,stakeChangeAbs
oRAnGeU5h8h2UkvbfnE5cjXnnAa4rBoaxmS4kbFymSe,74.0,629172.276,87.883,0.15,93084.985,0.0,-93084.985,93084.985
FPjq7vB2V3TiseJJSPsp47UWSfT4AwvKjiU7GEro7bX9,90.0,247703.219,50.806,0.14,55269.346,138132.402,82863.056,82863.056
HWeDLvzf8PhbYCuNFXB9E3fiCaz8RCtHW8b52iPAboCJ,53.0,212086.572,91.007,0.25,79748.024,0.0,-79748.024,79748.024
HAK7iPgQTFwqEzPfVrRDbG5epFdk1dsA9qQexytsDoes,97.0,235850.455,56.15,0.136,61673.807,140995.156,79321.349,79321.349
HFLsfstZkJeWDgVEA5fmXeea876Ad9f1VxrbXk386bBY,87.0,237527.734,58.13,0.129,63814.234,135560.87,71746.636,71746.636
A1taSaBJrLMrqfWsPESYDujnZv5yD7bF35LjXoyNXhzN,98.0,193088.219,63.602,0.136,69950.036,133858.847,63908.811,63908.811
He4AUUbyUciqmWuAga11ucr2tM64GA3NqFXYEPmHPv6t,86.0,103971.495,34.048,0.132,37252.705,91673.39,54420.685,54420.685
BXNW9ysAB9ksEDidcNWraaFkMeA88q6xzFRSyNnGvQYC,5.0,137417.707,30.27,0.5,18477.21,56254.494,37777.283,37777.283
4v2os15BGgAnqiy76YvPmAywp5xKh9jfBPfnQGzUVc9c,36.0,290240.825,180.35,0.36,134817.394,170916.019,36098.624,36098.624
Fbnesg4kSDDoFbjaSiDQJ3GXHHAnNb1CJCgLQp4dxj4C,24.0,127359.69,49.044,0.375,35852.622,69553.628,33701.006,33701.006
5ni6KoVM62cRJNfFFKGdiyDfYbKWWAGZ21cfGZcj1y66,88.0,65692.201,82.929,0.142,89921.129,123483.385,33562.255,33562.255
AjdEzodq5LpRA63AtQaiHyTLDfjTkr6csrtYWiSDPjaK,84.0,251414.384,102.194,0.131,111697.234,145076.726,33379.493,33379.493
39xF5qkfK5HBaG4Hkq6bjumUB2k4B5ozEAmfZoobhUVw,47.0,292658.29,172.917,0.3,139481.525,170939.846,31458.32,31458.32
AShjuYEE1bTBar9HGJehw3FgzibJuVwuP846guzbjRPM,12.0,136187.706,71.649,0.375,51071.101,73376.338,22305.237,22305.237
FVhMWs3bbayWpUqDAbWUPH813gzFzJEo8fzhLhhkGstp,55.0,251740.688,147.027,0.25,129003.966,150000.0,20996.034,20996.034
6bb3VS1Mx1UBEiyFbrdh4QeB4FRVCBwreL3C9mWvKWiH,83.0,118841.942,85.378,0.14,92242.649,110996.221,18753.572,18753.572
BLX5PkLh7GsHaqCpLDxiW3UjxfT2GMyteVAhRZBYhCts,23.0,38337.06,17.961,0.355,13321.667,0.0,-13321.667,13321.667
HkK6U5e8HkTs5uE7VEWQ2H3NuznjLF1mpoRVjzdDgfF5,25.0,185282.98,14.102,0.353,10490.702,0.0,-10490.702,10490.702
8ZvTbWfA7txjkNubA9jnv8CWQtwbaZSzpf7vaDDcxMr5,67.0,396.048,55.002,0.17,0.0,10000.0,10000.0,10000.0
6wrzzX8hhhwY8NVtZWJqYJJfqnkDiFq6qTZEKLv3SjZk,80.0,4183.11,37.132,0.136,40146.014,50000.0,9853.986,9853.986
DrCcHpAWj8a4JU99QKtwfCynzdhgQeuieAY9WadZD5Ry,39.0,95180.306,46.342,0.35,35162.626,43274.676,8112.05,8112.05
3UmhLuNdgE2NYDSfXmbu5DhPRxWUK8JwiRcG6tXV4JGc,58.0,50164.44,35.352,0.23,32104.177,39948.949,7844.772,7844.772
A2MtELFxn9wAiUrobrZ6vsypQtGHdH3ZesEnvAogvuFZ,52.0,166584.588,23.542,0.27,19930.833,27220.089,7289.257,7289.257
5akpkYincAbsTBXVbf2GDCg4KatMnc8BKkXZCh7MWGPK,10.0,199638.206,0.002,0.4,1.587,7031.41,7029.822,7029.822
i6PZjkPHGYmPfPE8LsJuLn5huZyusXhmysiDiHGPjxb,81.0,228520.886,9.745,0.15,10386.624,17071.211,6684.587,6684.587
