voteAccount,totalPmpe,marinadeSamTargetSol,marinadeActivatedStakeSol_710,marinadeActivatedStakeSol_711,stakeChange
he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk,0.0,0.0,0.0,0.0,0.0
CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB,0.0,0.0,0.0,0.0,0.0
6D2jqw9hyVCpppZexquxa74Fn33rJzzBx38T58VucHx9,0.0,0.0,0.0,0.0,0.0
3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g,0.0,0.0,0.0,0.0,0.0
26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx,0.0,0.0,0.0,0.0,0.0
CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1,0.0,0.0,0.0,0.0,0.0
FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk,0.0,0.0,0.0,0.0,0.0
9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF,0.0,0.0,0.0,0.0,0.0
G9x1mqewTeVnXLmv3FamYD5tq1AdS395RHH3MLQPj6TY,0.0,0.0,0.0,0.0,0.0
Ak5BJzQe2R8qFuyYmaAFPjXuD7XPux3ZNTv52D7rfiqR,0.0,0.0,0.0,0.0,0.0
H74qox1GASBWd94FWMyy6GVAbRVLf9SAMgbJ1tzSUAst,0.0,0.0,0.0,0.0,0.0
AZoCYB4VgoM9DR9f1ZFcBn8xPSbtbqoxZnKJR7tkvEoX,0.0,0.0,0.0,0.0,0.0
DdCNGDpP7qMgoAy6paFzhhak2EeyCZcgjH7ak5u5v28m,0.0,0.0,0.0,0.0,0.0
3ZYJxzCeweSoh2Jj7oCgencFs9y27iKmXJeqYapje1cj,0.0,0.0,0.0,0.0,0.0
XzMLju7T6BSSngmsPogeuryd6uswiimkPU87gB2chho,0.0,0.0,0.0,0.0,0.0
55L7AV93xRmx5F7rX1GCfsHxfYWNu4bKsG6f8tG6dFRo,0.0,0.0,0.0,0.0,0.0
J1to2NAwajc8hD6E6kujdQiPn1Bbt2mGKKZLY9kSQKdB,0.0,0.0,0.0,0.0,0.0
DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a,0.0,0.0,0.0,0.0,0.0
CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb,0.0,0.0,0.0,0.0,0.0
J1to1yufRnoWn81KYg1XkTWzmKjnYSnmE2VY8DGUJ9Qv,0.0,0.0,0.0,0.0,0.0
HZKopZYvv8v6un2H6KUNVQCnK5zM9emKKezvqhTBSpEc,0.0,0.0,0.0,0.0,0.0
KRAKEnMdmT4EfM8ykTFH6yLoCd5vNLcQvJwF66Y2dag,0.0,0.0,0.0,0.0,0.0
8Pep3GmYiijRALqrMKpez92cxvF4YPTzoZg83uXh14pW,0.0,0.0,0.0,0.0,0.0
iZADA4YKVRJZJaDUV3j79DzyK4VJkK3DGTfvvqvbC1K,0.0,0.0,0.0,0.0,0.0
6x9uLhegx488uA3dPoq8DWHS488K4FsEqeeMXeW7kQPx,0.0,0.0,0.0,0.0,0.0
6jzDwKeR21EFHwaRgZMefMxJ9D2vnQRqfYxkpUuJppPh,0.0,0.0,0.0,0.0,0.0
3Ty8DYNBkK237zPvACti83EJYGxDcMcoDMCou5r3eV5Q,0.0,0.0,0.0,0.0,0.0
86dGbSrKhZHgKLWZc1hAyzQkk2asXGCFsoRsu1Ccfzd6,0.0,0.0,0.0,0.0,0.0
HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH,0.0,0.0,0.0,0.0,0.0
6aow5rTURdbhbeMDrFrbP2GR5vZjMEhktEy87iH1VGPs,0.0,0.0,0.0,0.0,0.0
A9V5e8ZLwQ2ArKZnCcrmz9Q92pDCkUXE5tqJmJDZkCMo,0.0,0.0,0.0,0.0,0.0
7xENfwKCajMB5aVTgmTB6h7d7Su91wTcnfMjoAQCMvKq,0.0,0.0,0.0,0.0,0.0
GvZEwtCHZ7YtCkQCaLRVEXsyVvQkRDhJhQgB6akPme1e,0.0,0.0,0.0,0.0,0.0
BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2,0.0,0.0,0.0,0.0,0.0
GHViLgbrJdZDPb6sphRbeuPNM9cmjsFuGWzrTF1sKF5n,0.0,0.0,0.0,0.0,0.0
CertusDeBmqN8ZawdkxK5kFGMwBXdudvWHYwtNgNhvLu,0.0,0.0,0.0,0.0,0.0
BkSS8kGUNcQkTgEKMmBhHxGVLdzw43EAzDYpZqyyxFrT,0.0,0.0,0.0,0.0,0.0
At2rZHk554qWrjcmdNkCQGp8i4hdKLf52EXMrDmng5ab,0.0,0.0,0.0,0.0,0.0
72LbWsZFEyB7xrB9ggeoPUrSw2vzPEnsPJJHZo1svkM7,0.0,0.0,0.0,0.0,0.0
oixpqSNX7CKWHw93ViA8u1CcLzZXDmacKJjV4AvxMZE,0.0,0.0,0.0,0.0,0.0
2uXzxR2EZVaHE3CuaDaUJ8C9Qr54LMfwkY5BtRPAzbPE,0.0,0.0,0.0,0.0,0.0
8mHUDJjzPo2AwJp8SHKmG9rk9ftWTp7UysqYz36cMpJe,0.0,0.0,0.0,0.0,0.0
BhREyEsP3YAtQbTCrKcXgTNTeaq9gdjWji3Nz4d8Q1P2,0.0,0.0,0.0,0.0,0.0
HDc84gs3CtqhebHycmoDpc5n2y3CFfd5GqYZkr2XiBMR,0.0,0.0,0.0,0.0,0.0
JDMq8hxZnad2smKLGkFbfg8zVMZHKQcMugD4tMR9u2da,0.0,0.0,0.0,0.0,0.0
33hurzEz6aEnzfESL6pnNyR6DCgcKzssT1pwSzDCBTRQ,0.0,0.0,0.0,0.0,0.0
BU3ZgGBXFJwNTrN6VUJ88k9SJ71SyWfBJTabYqRErm4F,0.0,0.0,0.0,0.0,0.0
E9W5kU2fnha9yp4RmFZgNNsRUvy6oKnB9ZyR9LC81WaE,0.0,0.0,0.0,0.0,0.0
HxYHGzR58gyf6c4JAX85eK8GVuaZU2zne4be82Lq9SBQ,0.0,0.0,0.0,0.0,0.0
Haz7b47sZBpxh9SwggGndN3fAyNQ1S949BPdxWXS3ab6,0.0,0.0,0.0,0.0,0.0
beefKGBWeSpHzYBHZXwp5So7wdQGX6mu4ZHCsH3uTar,0.0,0.0,0.0,0.0,0.0
CxFH1pqJnEmyaE4wEwqdqMKpQMpkmdaMxhS7SzpHokA8,0.0,0.0,0.0,0.0,0.0
EXhYxF25PJEHb3v5G1HY8Jn8Jm7bRjJtaxEghGrUuhQw,0.0,0.0,0.0,0.0,0.0
FjkSLYmi6BJAJQn1iSLUGrPrBQjMaD4y1DVdnv3yaTsX,0.0,0.0,0.0,0.0,0.0
8wTSPukwTAzNzEYyUdc8UiKkTg1hNtZ1xLum7o1Ne6wr,0.0,0.0,0.0,0.0,0.0
ERut3CwqVeoa616QBaoHc5jL52RpkXjZZZ7MeaMaCtLi,0.0,0.0,0.0,0.0,0.0
8BMMDVM8Tb88a2Hx1VSZ1TKmH1rMHbVU7xVafMk9JrEW,0.0,0.0,0.0,0.0,0.0
HhYEE3dAShc3772wEiy73XDYnLjVxyBL8eAWKyRcF14y,0.0,0.0,0.0,0.0,0.0
F5b1wSUtpaYDnpjLQonCZC7iyFvizLcNqTactZbwSEXK,0.0,0.0,0.0,0.0,0.0
51JBzSTU5rAM8gLAVQKgp4WoZerQcSqWC7BitBzgUNAm,0.0,0.0,0.0,0.0,0.0
74pfDmYto6aAqCzFH1mNJ8NxF7A4LQ4cXkipGwgjY39u,0.0,0.0,0.0,0.0,0.0
DQ7D6ZRtKbBSxCcAunEkoTzQhCBKLPdzTjPRRnM6wo1f,0.0,0.0,0.0,0.0,0.0
GE6atKoWiQ2pt3zL7N13pjNHjdLVys8LinG8qeJLcAiL,0.0,0.0,0.0,0.0,0.0
9GJmEHGom9eWo4np4L5vC6b6ri1Df2xN8KFoWixvD1Bs,0.0,0.0,0.0,0.0,0.0
9Diao4uo6NpeMud7t5wvGnJ3WxDM7iaYxkGtJM36T4dy,0.0,0.0,0.0,0.0,0.0
2LrSZWeyvFovnzVFpFPQE7Lxt64xs3s3Re9HLxMJtGwf,0.0,0.0,0.0,0.0,0.0
7jPqpHuN5v59dtBom2tjmYEfi6WaM4sFtJeTD6fzhcdS,0.0,0.0,0.0,0.0,0.0
