voteAccount,stakePriority,totalActivatedStakeSol,bondBalanceSol,bidCpmpe,marinadeStake_711,marinadeStake_712,stakeChange,stakeChangeAbs
D3QPJm7BDzzPeRG51YZSEz3LfV7GvFNu9NkcibzURxuj,19.0,365623.295,239.48,0.35,170916.019,0.0,-170916.019,170916.019
DM8eVQwKYpFUq4MAC1XEeZMjV4T34LfvGkK9vca55GaY,95.0,100176.896,57.022,0.138,63448.336,124461.818,61013.482,61013.482
5nkSzU4oVSDdxZvorYwxz6BQab2VfmHbdA9AnpYVkAL7,47.0,369.936,97.823,0.28,0.0,50000.0,50000.0,50000.0
HM5H6FAYWEMcm9PCXFbbiUFfFVLTN9UGy9AqmMQjdMRA,2.0,806555.423,237.739,0.5,145344.972,172279.328,26934.356,26934.356
SUN1nYpPJVjd3gKnDACdaUVL53LJaXR9u8e9i1jkZ3a,77.0,69143.848,0.002,0.15,2.474,21831.306,21828.832,21828.832
3pBPy27F1Wz3iVydZnGkdvefStrFm8UMCDakYZii8AUZ,97.0,188500.67,107.31,0.123,12000.0,0.0,-12000.0,12000.0
DepooLoEUsBurWjv2xXnb4qfVFnExRCvAma94mcRzcmc,61.0,226784.98,147.183,0.2,143914.509,132393.748,-11520.761,11520.761
HAK7iPgQTFwqEzPfVrRDbG5epFdk1dsA9qQexytsDoes,98.0,236341.879,126.179,0.136,140995.156,131020.12,-9975.036,9975.036
2ZuVhyBsUbTh27LBCQH3BkenjPp86gUZiNBKmhPsTRpT,44.0,166720.485,139.008,0.3,113567.327,104006.743,-9560.584,9560.584
FPjq7vB2V3TiseJJSPsp47UWSfT4AwvKjiU7GEro7bX9,90.0,247959.975,124.832,0.14,138132.402,128723.166,-9409.236,9409.236
DTDvrj1mKFv453DMAGRuFwg77DuLjsfVHnbLe5BJPL9D,17.0,347368.982,159.937,0.355,118966.039,127898.964,8932.925,8932.925
6bb3VS1Mx1UBEiyFbrdh4QeB4FRVCBwreL3C9mWvKWiH,82.0,118906.589,100.918,0.14,110996.221,102656.451,-8339.77,8339.77
C9YVc5dBPRbmyi8tPJKnrBuVwXeULby1eGXWvUVv866a,77.0,26221.976,93.245,0.15,100000.0,91739.368,-8260.632,8260.632
5AC692spnjbegP7ttCXJEzUe8S81sLYsqJd8Ae6Zv1xU,42.0,301911.801,0.005,0.294,3.732,8224.68,8220.947,8220.947
A1taSaBJrLMrqfWsPESYDujnZv5yD7bF35LjXoyNXhzN,99.0,195680.297,119.632,0.136,133858.847,125759.254,-8099.593,8099.593
i6PZjkPHGYmPfPE8LsJuLn5huZyusXhmysiDiHGPjxb,77.0,230966.393,15.752,0.15,17071.211,25000.0,7928.789,7928.789
4v2os15BGgAnqiy76YvPmAywp5xKh9jfBPfnQGzUVc9c,32.0,291578.8,230.431,0.36,170916.019,163086.446,-7829.572,7829.572
AjdEzodq5LpRA63AtQaiHyTLDfjTkr6csrtYWiSDPjaK,84.0,251740.075,130.233,0.131,145076.726,137451.248,-7625.478,7625.478
5WPxGiB6zBXNJp8JN3WhSKDuTY3ZBX6dBDcbtVMQAJLX,93.0,88068.112,59.658,0.14,66087.773,59027.658,-7060.115,7060.115
CJznrtFkWvkK91W57btS77cXqRKce3DcoX8KXRp2WzpR,75.0,198112.464,78.421,0.152,84622.538,77881.094,-6741.444,6741.444
HFLsfstZkJeWDgVEA5fmXeea876Ad9f1VxrbXk386bBY,89.0,240696.376,121.149,0.129,135560.87,129052.448,-6508.423,6508.423
EreifamaYZ1cAtegv5hJFgRSqDQg3i6uRamWXfYuJeC8,13.0,188913.762,108.891,0.4,77645.299,71175.595,-6469.704,6469.704
